Unnamed: 0,Ratings,RAM,ROM,Mobile_Size,Primary_Cam,Selfi_Cam,Battery_Power,Price
558,3.8,6.0,32.0,4.54,64,23.0,4100,1149
470,4.1,4.0,64.0,5.9,38,2.0,3000,14999
621,3.7,6.0,32.0,4.5,48,9.78483245149912,3000,649
468,3.4,6.0,32.0,4.5,64,9.78483245149912,3000,649
803,4.1,4.0,40.0,4.77,48,9.78483245149912,3000,1080
190,4.0,30.0,0.0,4.5,64,9.78483245149912,3500,799
115,4.6,12.0,64.0,6.1,35,7.0,3500,573000
522,3.8,12.0,56.0,4.57,48,13.0,3000,1799
180,3.8,6.0,32.0,4.5,48,9.78483245149912,3000,1199
301,4.6,6.0,128.0,6.67,48,8.0,3800,42990
641,4.5,8.0,256.0,6.6,48,13.0,4065,41990
602,4.0,6.0,32.0,3.7,16,23.0,3000,980
